DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-10-29,Back / Biceps,Pull-up,Back,1,12,5.0
2023-10-29,Back / Biceps,Pull-up,Back,2,7,5.0
2023-10-29,Back / Biceps,Pull-up,Back,3,6,5.0
2023-10-29,Back / Biceps,Pull-up,Back,4,5,5.0
2023-10-29,Back / Biceps,Bent Over Barbell Row,Back,1,11,60.0
2023-10-29,Back / Biceps,Bent Over Barbell Row,Back,2,10,60.0
2023-10-29,Back / Biceps,Bent Over Barbell Row,Back,3,8,60.0
2023-10-29,Back / Biceps,Bent Over Barbell Row,Back,4,7,60.0
2023-10-29,Back / Biceps,Hammer Curls,Biceps,1,13,12.0
2023-10-29,Back / Biceps,Hammer Curls,Biceps,2,8,12.0
2023-10-29,Back / Biceps,Hammer Curls,Biceps,3,7,12.0
2023-10-29,Back / Biceps,Incline dumbbell biceps curl,Biceps,1,8,10.0
2023-10-29,Back / Biceps,Incline dumbbell biceps curl,Biceps,2,6,10.0
2023-10-29,Back / Biceps,Incline dumbbell biceps curl,Biceps,3,8,8.0
