DATE,EXERCISE,SET,NB_REPS,WEIGHT,PERF
2023-05-27,Seated dumbbell shoulder press,2.0,7.333333333333333,17.333333333333332,125.33333333333333
2023-05-27,Triceps Pushdown,2.0,9.666666666666666,34.666666666666664,328.0
2023-05-28,Barbell Squat,2.0,8.333333333333334,76.66666666666667,630.0
2023-05-28,Leg Extensions,2.0,9.333333333333334,49.666666666666664,459.6666666666667
2023-05-28,Leg Press,2.0,9.333333333333334,73.33333333333333,680.0
2023-05-28,Lying Leg Curls,2.0,10.333333333333334,39.333333333333336,402.0
2023-05-28,Smith machine standing calf raise,2.0,10.666666666666666,60.0,640.0
2023-05-29,Hammer Curls,2.0,9.333333333333334,10.0,93.33333333333333
2023-05-29,Incline dumbbell biceps curl,2.0,6.333333333333333,9.0,57.0
2023-05-29,Lat pull-down,2.0,8.666666666666666,38.333333333333336,330.6666666666667
2023-05-29,Pull-up,2.0,7.333333333333333,3.3333333333333335,20.0
2023-05-29,Seated Cable Rows,2.0,8.666666666666666,52.0,450.6666666666667
2023-05-29,Standing crossed-cable rear delt fly,2.0,11.0,10.333333333333334,111.0
2023-05-29,Straight-arm cable pull-over,2.0,12.0,26.333333333333332,301.3333333333333
2023-05-30,Behind-the-head skullcrusher,2.0,5.666666666666667,16.666666666666668,94.0
2023-05-30,Bench press,2.0,8.333333333333334,52.666666666666664,435.3333333333333
2023-05-30,Decline barbell bench press,2.0,8.333333333333334,46.0,383.3333333333333
2023-05-30,Dumbbell lateral raise,2.0,8.666666666666666,10.0,86.66666666666667
2023-05-30,Incline bench press,2.0,7.333333333333333,44.0,317.3333333333333
2023-05-30,Seated dumbbell shoulder press,2.0,5.666666666666667,17.333333333333332,98.0
2023-05-30,Tricep Dumbbell Kickback,2.0,4.333333333333333,6.0,26.0
2023-06-02,Bent Over Barbell Row,2.0,9.0,60.0,540.0
2023-06-02,Hammer Curls,2.0,6.666666666666667,12.0,80.0
2023-06-02,Incline dumbbell biceps curl,2.0,5.666666666666667,8.0,45.333333333333336
2023-06-02,Incline dumbbell row,2.0,12.0,12.0,144.0
2023-06-02,Pull-up,2.0,7.0,1.6666666666666667,6.666666666666667
2023-06-03,Cable overhead triceps extension,2.0,8.666666666666666,25.0,216.66666666666666
2023-06-03,Dumbbell Bench Press,2.0,8.333333333333334,26.0,216.66666666666666
2023-06-03,Dumbbell lateral raise,2.0,9.333333333333334,10.0,93.33333333333333
2023-06-03,Incline dumbbell bench press,2.0,7.666666666666667,22.0,168.66666666666666
2023-06-03,Low-cable cross-over,2.0,10.0,12.0,119.0
2023-06-03,Seated dumbbell shoulder press,2.0,7.666666666666667,18.0,138.0
2023-06-03,Triceps Pushdown,2.0,8.666666666666666,36.0,312.0
2023-06-04,Barbell Squat,2.0,8.333333333333334,80.0,666.6666666666666
2023-06-04,Leg Extensions,2.0,8.333333333333334,59.0,491.6666666666667
2023-06-04,Lying Leg Curls,2.0,7.0,36.0,252.0
2023-06-04,Romanian Deadlift With Dumbbells,2.0,8.0,25.333333333333332,201.33333333333334
2023-06-04,Smith machine standing calf raise,2.0,9.666666666666666,66.66666666666667,633.3333333333334
2023-06-06,Bent Over Barbell Row,2.0,9.333333333333334,60.0,560.0
2023-06-06,Hammer Curls,2.0,8.666666666666666,12.0,104.0
2023-06-06,Incline dumbbell biceps curl,2.0,7.0,8.0,56.0
2023-06-06,Incline dumbbell row,2.0,10.333333333333334,12.666666666666666,129.33333333333334
2023-06-06,Pull-up,2.0,7.666666666666667,0.0,0.0
2023-06-09,Cable overhead triceps extension,2.0,9.333333333333334,25.0,228.0
2023-06-09,Dumbbell Bench Press,2.0,7.666666666666667,26.0,199.33333333333334
2023-06-09,Dumbbell lateral raise,2.0,9.0,12.0,108.0
2023-06-09,Incline dumbbell bench press,2.0,8.333333333333334,22.0,183.33333333333334
2023-06-09,Low-cable cross-over,2.0,10.0,11.0,110.0
2023-06-09,Seated dumbbell shoulder press,2.0,8.333333333333334,18.0,150.0
2023-06-09,Triceps Pushdown,2.0,6.666666666666667,16.666666666666668,110.66666666666667
2023-06-10,Bent Over Barbell Row,2.0,9.333333333333334,60.0,560.0
2023-06-10,Bent-over dumbbell rear delt fly,2.0,13.333333333333334,6.0,80.0
2023-06-10,Hammer Curls,2.0,8.0,12.666666666666666,100.0
2023-06-10,Incline dumbbell biceps curl,2.0,8.0,8.0,64.0
2023-06-10,Pull-up,2.0,8.333333333333334,0.0,0.0
2023-06-11,Barbell Squat,2.0,9.0,80.0,720.0
2023-06-11,Leg Extensions,2.0,10.0,56.666666666666664,559.6666666666666
2023-06-11,Leg Press,2.0,10.333333333333334,90.0,903.3333333333334
2023-06-11,Lying Leg Curls,2.0,9.0,42.333333333333336,378.3333333333333
2023-06-11,Smith machine standing calf raise,2.0,11.333333333333334,73.33333333333333,828.3333333333334
2023-06-16,Behind-the-head skullcrusher,2.0,12.666666666666666,14.0,173.33333333333334
2023-06-16,Bench press,2.0,8.0,56.666666666666664,452.0
2023-06-16,Decline barbell bench press,2.0,8.0,48.0,384.0
2023-06-16,Dumbbell lateral raise,2.0,8.666666666666666,11.333333333333334,95.33333333333333
2023-06-16,Incline bench press,2.0,7.0,46.0,322.0
2023-06-16,Seated dumbbell shoulder press,2.0,5.666666666666667,18.0,102.0
2023-06-17,Barbell Squat,2.0,8.333333333333334,85.0,708.3333333333334
2023-06-17,Leg Extensions,2.0,10.666666666666666,63.666666666666664,671.3333333333334
2023-06-17,Lying Leg Curls,2.0,9.0,36.0,324.0
2023-06-17,Romanian Deadlift With Dumbbells,2.0,9.666666666666666,26.0,251.33333333333334
2023-06-17,Smith machine standing calf raise,2.0,9.0,80.0,720.0
2023-06-21,Hammer Curls,2.0,8.333333333333334,12.0,100.0
2023-06-21,Incline dumbbell biceps curl,2.0,6.0,8.0,48.0
2023-06-21,Lat pull-down,2.0,9.0,56.666666666666664,503.0
2023-06-21,Pull-up,2.0,9.0,0.0,0.0
2023-06-21,Seated Cable Rows,2.0,9.0,52.0,468.0
2023-06-21,Standing crossed-cable rear delt fly,2.0,10.666666666666666,10.333333333333334,110.0
2023-06-21,Straight-arm cable pull-over,2.0,8.666666666666666,29.0,246.66666666666666
2023-06-22,Cable overhead triceps extension,2.0,8.666666666666666,26.333333333333332,226.66666666666666
2023-06-22,Dumbbell Bench Press,2.0,7.333333333333333,26.0,190.66666666666666
2023-06-22,Dumbbell lateral raise,2.0,9.0,12.0,108.0
2023-06-22,Incline dumbbell bench press,2.0,7.333333333333333,22.0,161.33333333333334
2023-06-22,Low-cable cross-over,2.0,9.666666666666666,11.0,106.33333333333333
2023-06-22,Seated dumbbell shoulder press,2.0,7.333333333333333,18.0,132.0
2023-06-22,Triceps Pushdown,2.0,7.0,15.333333333333334,103.33333333333333
2023-06-24,Barbell Squat,2.0,8.0,83.33333333333333,661.6666666666666
2023-06-24,Leg Press,2.0,9.333333333333334,106.66666666666667,990.0
2023-06-24,Lying Leg Curls,2.0,8.666666666666666,30.0,260.0
2023-06-26,Hammer Curls,2.0,8.0,12.0,96.0
2023-06-26,Incline dumbbell biceps curl,2.0,7.333333333333333,8.0,58.666666666666664
2023-06-26,Lat pull-down,2.0,8.666666666666666,59.0,511.3333333333333
2023-06-26,Pull-up,2.0,9.0,0.0,0.0
2023-06-26,Seated Cable Rows,2.0,9.333333333333334,52.0,485.3333333333333
2023-06-26,Standing crossed-cable rear delt fly,2.0,11.0,11.0,121.0
2023-06-26,Straight-arm cable pull-over,2.0,8.666666666666666,28.0,242.66666666666666
2023-07-01,Cable rope hammer curl,2.0,11.0,32.0,352.0
2023-07-01,Incline dumbbell biceps curl,2.0,8.0,9.0,72.0
2023-07-01,Lat pull-down,2.0,10.0,43.666666666666664,435.3333333333333
2023-07-01,Pull-up,2.0,9.0,2.6666666666666665,18.666666666666668
2023-07-01,Seated Cable Rows,2.0,10.0,55.333333333333336,548.6666666666666
2023-07-01,Standing crossed-cable rear delt fly,2.0,10.0,14.0,140.0
2023-07-01,Straight-arm cable pull-over,2.0,10.0,29.333333333333332,293.3333333333333
2023-07-02,Behind-the-head skullcrusher,2.0,10.666666666666666,17.333333333333332,182.66666666666666
2023-07-02,Bench press,2.0,7.666666666666667,60.0,460.0
2023-07-02,Close-grip bench press,2.0,8.333333333333334,44.0,356.0
2023-07-02,Dumbbell lateral raise,2.0,7.333333333333333,12.0,88.0
2023-07-02,Incline bench press,2.0,9.333333333333334,47.333333333333336,440.6666666666667
