DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-11-11,Chest / Shoulders / Triceps,Bench press,Chest,1,10,60.0
2023-11-11,Chest / Shoulders / Triceps,Bench press,Chest,2,8,60.0
2023-11-11,Chest / Shoulders / Triceps,Bench press,Chest,3,6,60.0
2023-11-11,Chest / Shoulders / Triceps,Incline bench press,Chest,1,9,50.0
2023-11-11,Chest / Shoulders / Triceps,Incline bench press,Chest,2,7,50.0
2023-11-11,Chest / Shoulders / Triceps,Incline bench press,Chest,3,8,50.0
2023-11-11,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,1,7,50.0
2023-11-11,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,2,7,50.0
2023-11-11,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,3,6,50.0
2023-11-11,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,8,18.0
2023-11-11,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,2,6,18.0
2023-11-11,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,3,6,18.0
2023-11-11,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,1,9,24.0
2023-11-11,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,2,7,24.0
2023-11-11,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,3,7,24.0
2023-11-11,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,1,11,12.0
2023-11-11,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,2,8,12.0
2023-11-11,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,3,7,12.0
2023-11-12,Legs,Barbell Squat,Legs,1,8,80.0
2023-11-12,Legs,Barbell Squat,Legs,2,6,85.0
2023-11-12,Legs,Barbell Squat,Legs,3,6,85.0
2023-11-12,Legs,Leg Press,Legs,1,10,110.0
2023-11-12,Legs,Leg Press,Legs,2,9,110.0
2023-11-12,Legs,Leg Press,Legs,3,8,110.0
2023-11-12,Legs,Seated Leg Curl,Legs,1,18,59.0
2023-11-12,Legs,Seated Leg Curl,Legs,2,10,68.0
2023-11-12,Legs,Seated Leg Curl,Legs,3,8,73.0
2023-11-12,Legs,Leg Extensions,Legs,1,8,66.0
2023-11-12,Legs,Leg Extensions,Legs,2,6,66.0
2023-11-12,Legs,Leg Extensions,Legs,3,6,66.0
2023-11-12,Legs,Smith machine standing calf raise,Legs,1,12,100.0
2023-11-12,Legs,Smith machine standing calf raise,Legs,2,10,100.0
2023-11-12,Legs,Smith machine standing calf raise,Legs,3,9,100.0
