DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-05-07,Chest,Dumbbell Bench Press,Chest,1,10,16.0
2023-05-07,Chest,Dumbbell Bench Press,Chest,2,10,20.0
2023-05-07,Chest,Dumbbell Bench Press,Chest,3,5,24.0
2023-05-07,Chest,Dumbbell Bench Press,Chest,4,10,24.0
2023-05-07,Chest,Incline dumbbell bench press,Chest,1,12,18.0
2023-05-07,Chest,Incline dumbbell bench press,Chest,2,8,20.0
2023-05-07,Chest,Incline dumbbell bench press,Chest,3,7,20.0
2023-05-07,Chest,Cable cross-over,Chest,1,12,9.0
2023-05-07,Chest,Cable cross-over,Chest,2,10,11.0
2023-05-07,Chest,Cable cross-over,Chest,3,10,11.0
