DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-04-03,Chest / Shoulders,Bench press,Chest,1,10,40.0
2023-04-03,Chest / Shoulders,Bench press,Chest,2,6,50.0
2023-04-03,Chest / Shoulders,Bench press,Chest,3,5,50.0
2023-04-03,Chest / Shoulders,Bench press,Chest,4,4,50.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,1,10,14.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,2,7,16.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,3,6,16.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,4,4,16.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,1,10,9.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,2,10,14.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,3,10,14.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,4,10,14.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,1,10,10.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,2,7,12.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,3,7,12.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,4,6,12.0
2023-04-04,Back / Shoulders,Pull-up,Back,1,5,0.0
2023-04-04,Back / Shoulders,Pull-up,Back,2,5,0.0
2023-04-04,Back / Shoulders,Pull-up,Back,3,4,0.0
2023-04-04,Back / Shoulders,Pull-up,Back,4,3,0.0
2023-04-04,Back / Shoulders,Bent Over Barbell Row,Back,1,10,40.0
2023-04-04,Back / Shoulders,Bent Over Barbell Row,Back,2,10,40.0
2023-04-04,Back / Shoulders,Bent Over Barbell Row,Back,3,10,45.0
2023-04-04,Back / Shoulders,Bent Over Barbell Row,Back,4,10,50.0
2023-04-04,Back / Shoulders,Lat pull-down,Back,1,10,39.0
2023-04-04,Back / Shoulders,Lat pull-down,Back,2,10,32.0
2023-04-04,Back / Shoulders,Lat pull-down,Back,3,10,39.0
2023-04-04,Back / Shoulders,Lat pull-down,Back,4,8,45.0
2023-04-04,Back / Shoulders,Dumbbell lateral raise,Shoulders,1,10,6.0
2023-04-04,Back / Shoulders,Dumbbell lateral raise,Shoulders,2,10,8.0
2023-04-04,Back / Shoulders,Dumbbell lateral raise,Shoulders,3,8,8.0
2023-04-04,Back / Shoulders,Dumbbell lateral raise,Shoulders,4,8,8.0
2023-04-06,Legs,Barbell Squat,Legs,1,7,45.0
2023-04-06,Legs,Barbell Squat,Legs,2,10,50.0
2023-04-06,Legs,Barbell Squat,Legs,3,8,55.0
2023-04-06,Legs,Barbell Squat,Legs,4,7,60.0
2023-04-06,Legs,Leg Press,Legs,1,10,70.0
2023-04-06,Legs,Leg Press,Legs,2,10,80.0
2023-04-06,Legs,Leg Press,Legs,3,10,90.0
2023-04-06,Legs,Leg Press,Legs,4,8,100.0
2023-04-06,Legs,Leg Extensions,Legs,1,10,20.0
2023-04-06,Legs,Leg Extensions,Legs,2,10,25.0
2023-04-06,Legs,Leg Extensions,Legs,3,8,30.0
2023-04-06,Legs,Leg Extensions,Legs,4,8,30.0
2023-04-06,Legs,Seated Leg Curl,Legs,1,10,30.0
2023-04-06,Legs,Seated Leg Curl,Legs,2,10,30.0
2023-04-06,Legs,Seated Leg Curl,Legs,3,10,35.0
2023-04-06,Legs,Seated Leg Curl,Legs,4,10,40.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,1,10,18.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,2,7,24.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,3,10,22.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,4,3,26.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,5,10,18.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,6,7,24.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,7,10,22.0
2023-04-08,Arms / Shoulders,Barbell Curl,Biceps,8,3,26.0
2023-04-08,Arms / Shoulders,Tricep Dumbbell Kickback,Triceps,1,8,6.0
2023-04-08,Arms / Shoulders,Tricep Dumbbell Kickback,Triceps,2,8,6.0
2023-04-08,Arms / Shoulders,Tricep Dumbbell Kickback,Triceps,3,8,6.0
2023-04-08,Arms / Shoulders,Tricep Dumbbell Kickback,Triceps,4,8,6.0
2023-04-08,Arms / Shoulders,Tricep Dumbbell Kickback,Triceps,5,8,6.0
2023-04-08,Arms / Shoulders,Tricep Dumbbell Kickback,Triceps,6,8,6.0
2023-04-08,Arms / Shoulders,Behind-the-head skullcrusher,Triceps,1,10,10.0
2023-04-08,Arms / Shoulders,Behind-the-head skullcrusher,Triceps,2,10,14.0
2023-04-08,Arms / Shoulders,Behind-the-head skullcrusher,Triceps,3,7,18.0
2023-04-08,Arms / Shoulders,Behind-the-head skullcrusher,Triceps,4,6,18.0
2023-04-08,Arms / Shoulders,Hammer Curls,Biceps,1,10,6.0
2023-04-08,Arms / Shoulders,Hammer Curls,Biceps,2,10,8.0
2023-04-08,Arms / Shoulders,Hammer Curls,Biceps,3,8,8.0
2023-04-08,Arms / Shoulders,Hammer Curls,Biceps,4,6,10.0
2023-04-08,Arms / Shoulders,Incline dumbbell row,Shoulders,1,10,10.0
2023-04-08,Arms / Shoulders,Incline dumbbell row,Shoulders,2,10,10.0
2023-04-08,Arms / Shoulders,Incline dumbbell row,Shoulders,3,10,10.0
2023-04-08,Arms / Shoulders,Incline dumbbell row,Shoulders,4,7,10.0
