DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-06-21,Back / Shoulders / Biceps,Pull-up,Back,1,10,0.0
2023-06-21,Back / Shoulders / Biceps,Pull-up,Back,2,9,0.0
2023-06-21,Back / Shoulders / Biceps,Pull-up,Back,3,8,0.0
2023-06-21,Back / Shoulders / Biceps,Seated Cable Rows,Back,1,9,52.0
2023-06-21,Back / Shoulders / Biceps,Seated Cable Rows,Back,2,10,52.0
2023-06-21,Back / Shoulders / Biceps,Seated Cable Rows,Back,3,8,52.0
2023-06-21,Back / Shoulders / Biceps,Lat pull-down,Back,1,12,52.0
2023-06-21,Back / Shoulders / Biceps,Lat pull-down,Back,2,8,59.0
2023-06-21,Back / Shoulders / Biceps,Lat pull-down,Back,3,7,59.0
2023-06-21,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,1,12,27.0
2023-06-21,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,2,6,32.0
2023-06-21,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,3,8,28.0
2023-06-21,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,1,10,10.0
2023-06-21,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,2,12,10.0
2023-06-21,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,3,10,11.0
2023-06-21,Back / Shoulders / Biceps,Hammer Curls,Biceps,1,12,12.0
2023-06-21,Back / Shoulders / Biceps,Hammer Curls,Biceps,2,7,12.0
2023-06-21,Back / Shoulders / Biceps,Hammer Curls,Biceps,3,6,12.0
2023-06-21,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,1,7,8.0
2023-06-21,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,2,6,8.0
2023-06-21,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,3,5,8.0
2023-06-22,Chest / Shoulders / Triceps,Cable cross-over,Chest,1,10,14.0
2023-06-22,Chest / Shoulders / Triceps,Cable cross-over,Chest,2,8,18.0
2023-06-22,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,1,8,26.0
2023-06-22,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,2,8,26.0
2023-06-22,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,3,6,26.0
2023-06-22,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,1,8,22.0
2023-06-22,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,2,7,22.0
2023-06-22,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,3,7,22.0
2023-06-22,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,8,18.0
2023-06-22,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,2,8,18.0
2023-06-22,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,3,6,18.0
2023-06-22,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,1,10,11.0
2023-06-22,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,2,9,11.0
2023-06-22,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,3,10,11.0
2023-06-22,Chest / Shoulders / Triceps,Cable overhead triceps extension,Triceps,1,11,25.0
2023-06-22,Chest / Shoulders / Triceps,Cable overhead triceps extension,Triceps,2,8,27.0
2023-06-22,Chest / Shoulders / Triceps,Cable overhead triceps extension,Triceps,3,7,27.0
2023-06-22,Chest / Shoulders / Triceps,Incline cable chest fly,Chest,1,10,14.0
2023-06-22,Chest / Shoulders / Triceps,Incline cable chest fly,Chest,2,8,18.0
2023-06-22,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,1,4,18.0
2023-06-22,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,2,9,14.0
2023-06-22,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,3,8,14.0
2023-06-22,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,1,11,12.0
2023-06-22,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,2,9,12.0
2023-06-22,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,3,7,12.0
2023-06-24,Legs,Barbell Squat,Legs,1,11,80.0
2023-06-24,Legs,Barbell Squat,Legs,2,8,85.0
2023-06-24,Legs,Barbell Squat,Legs,3,5,85.0
2023-06-24,Legs,Leg Press,Legs,1,11,100.0
2023-06-24,Legs,Leg Press,Legs,2,8,110.0
2023-06-24,Legs,Leg Press,Legs,3,9,110.0
2023-06-24,Legs,Lying Leg Curls,Legs,1,10,30.0
2023-06-24,Legs,Lying Leg Curls,Legs,2,9,30.0
2023-06-24,Legs,Lying Leg Curls,Legs,3,7,30.0
