DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-12-22,Back / Biceps,Pull-up,Back,1,9,10.0
2023-12-22,Back / Biceps,Pull-up,Back,2,7,10.0
2023-12-22,Back / Biceps,Pull-up,Back,3,6,10.0
2023-12-22,Back / Biceps,Pull-up,Back,4,7,5.0
2023-12-22,Back / Biceps,Reverse Barbell Row,Back,1,10,64.0
2023-12-22,Back / Biceps,Reverse Barbell Row,Back,2,11,64.0
2023-12-22,Back / Biceps,Reverse Barbell Row,Back,3,10,64.0
2023-12-22,Back / Biceps,Reverse Barbell Row,Back,4,9,64.0
2023-12-22,Back / Biceps,Hammer Curls,Biceps,1,10,14.0
2023-12-22,Back / Biceps,Hammer Curls,Biceps,2,7,14.0
2023-12-22,Back / Biceps,Hammer Curls,Biceps,3,5,14.0
2023-12-22,Back / Biceps,Hammer Curls,Biceps,4,5,14.0
2023-12-22,Back / Biceps,Incline dumbbell biceps curl,Biceps,1,9,10.0
2023-12-22,Back / Biceps,Incline dumbbell biceps curl,Biceps,2,8,10.0
2023-12-22,Back / Biceps,Incline dumbbell biceps curl,Biceps,3,7,10.0
2023-12-22,Back / Biceps,Incline dumbbell biceps curl,Biceps,4,5,10.0
2023-12-23,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,1,7,32.0
2023-12-23,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,2,6,32.0
2023-12-23,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,3,5,32.0
2023-12-23,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,1,8,26.0
2023-12-23,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,2,9,26.0
2023-12-23,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,3,7,26.0
2023-12-23,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,1,10,16.0
2023-12-23,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,2,7,16.0
2023-12-23,Chest / Shoulders / Triceps,Cable cross-over,Chest,1,14,18.0
2023-12-23,Chest / Shoulders / Triceps,Cable cross-over,Chest,2,8,20.0
2023-12-23,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,1,8,30.0
2023-12-23,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,2,8,30.0
2023-12-23,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,3,8,30.0
2023-12-23,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,1,9,29.0
2023-12-23,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,2,8,29.0
2023-12-23,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,3,8,29.0
2023-12-23,Chest / Shoulders / Triceps,Single-arm cable lateral raise,Shoulders,1,11,11.0
2023-12-23,Chest / Shoulders / Triceps,Single-arm cable lateral raise,Shoulders,2,8,11.0
2023-12-23,Chest / Shoulders / Triceps,Single-arm cable lateral raise,Shoulders,3,6,11.0
2023-12-24,Legs,Barbell Squat,Legs,1,8,95.0
2023-12-24,Legs,Barbell Squat,Legs,2,7,95.0
2023-12-24,Legs,Barbell Squat,Legs,3,7,95.0
2023-12-24,Legs,Leg Press,Legs,1,10,130.0
2023-12-24,Legs,Leg Press,Legs,2,7,130.0
2023-12-24,Legs,Leg Press,Legs,3,5,130.0
2023-12-24,Legs,Seated Leg Curl,Legs,1,7,81.0
2023-12-24,Legs,Seated Leg Curl,Legs,2,7,81.0
2023-12-24,Legs,Seated Leg Curl,Legs,3,5,81.0
2023-12-24,Legs,Leg Extensions,Legs,1,10,73.0
2023-12-24,Legs,Leg Extensions,Legs,2,7,73.0
