DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-07-11,Chest / Shoulders / Triceps,Smith machine bench press,Chest,1,9,65.0
2023-07-11,Chest / Shoulders / Triceps,Smith machine bench press,Chest,2,6,65.0
2023-07-11,Chest / Shoulders / Triceps,Smith machine bench press,Chest,3,7,65.0
2023-07-11,Chest / Shoulders / Triceps,Smith Machine Incline Bench Press,Chest,1,7,55.0
2023-07-11,Chest / Shoulders / Triceps,Smith Machine Incline Bench Press,Chest,2,8,55.0
2023-07-11,Chest / Shoulders / Triceps,Smith Machine Incline Bench Press,Chest,3,7,55.0
2023-07-11,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,10,18.0
2023-07-11,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,2,7,20.0
2023-07-11,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,3,7,20.0
2023-07-11,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,1,11,11.0
2023-07-11,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,2,11,11.0
2023-07-11,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,3,11,11.0
2023-07-11,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,1,12,20.0
2023-07-11,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,2,8,22.0
2023-07-11,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,3,8,22.0
2023-07-11,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,1,8,14.0
2023-07-11,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,2,8,14.0
2023-07-11,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,3,9,14.0
2023-07-11,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,1,12,12.0
2023-07-11,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,2,10,12.0
2023-07-11,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,3,7,12.0
2023-07-12,Back / Shoulders / Biceps,Pull-up,Back,1,11,0.0
2023-07-12,Back / Shoulders / Biceps,Pull-up,Back,2,9,4.0
2023-07-12,Back / Shoulders / Biceps,Pull-up,Back,3,8,4.0
2023-07-12,Back / Shoulders / Biceps,Seated Cable Rows,Back,1,11,59.0
2023-07-12,Back / Shoulders / Biceps,Seated Cable Rows,Back,2,10,59.0
2023-07-12,Back / Shoulders / Biceps,Seated Cable Rows,Back,3,10,59.0
2023-07-12,Back / Shoulders / Biceps,Lat pull-down,Back,1,12,59.0
2023-07-12,Back / Shoulders / Biceps,Lat pull-down,Back,2,12,59.0
2023-07-12,Back / Shoulders / Biceps,Lat pull-down,Back,3,10,59.0
2023-07-12,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,1,14,28.0
2023-07-12,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,2,9,36.0
2023-07-12,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,3,9,36.0
2023-07-12,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,1,9,14.0
2023-07-12,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,2,10,14.0
2023-07-12,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,3,7,14.0
2023-07-12,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,1,13,36.0
2023-07-12,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,2,12,36.0
