DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-06-26,Back / Shoulders / Biceps,Pull-up,Back,1,11,0.0
2023-06-26,Back / Shoulders / Biceps,Pull-up,Back,2,9,0.0
2023-06-26,Back / Shoulders / Biceps,Pull-up,Back,3,7,0.0
2023-06-26,Back / Shoulders / Biceps,Seated Cable Rows,Back,1,10,52.0
2023-06-26,Back / Shoulders / Biceps,Seated Cable Rows,Back,2,9,52.0
2023-06-26,Back / Shoulders / Biceps,Seated Cable Rows,Back,3,9,52.0
2023-06-26,Back / Shoulders / Biceps,Lat pull-down,Back,1,8,59.0
2023-06-26,Back / Shoulders / Biceps,Lat pull-down,Back,2,9,59.0
2023-06-26,Back / Shoulders / Biceps,Lat pull-down,Back,3,9,59.0
2023-06-26,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,1,10,28.0
2023-06-26,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,2,9,28.0
2023-06-26,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,3,7,28.0
2023-06-26,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,1,12,11.0
2023-06-26,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,2,11,11.0
2023-06-26,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,3,10,11.0
2023-06-26,Back / Shoulders / Biceps,Hammer Curls,Biceps,1,11,12.0
2023-06-26,Back / Shoulders / Biceps,Hammer Curls,Biceps,2,7,12.0
2023-06-26,Back / Shoulders / Biceps,Hammer Curls,Biceps,3,6,12.0
2023-06-26,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,1,9,8.0
2023-06-26,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,2,7,8.0
2023-06-26,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,3,6,8.0
2023-07-01,Back / Shoulders / Biceps,Pull-up,Back,1,13,0.0
2023-07-01,Back / Shoulders / Biceps,Pull-up,Back,2,8,4.0
2023-07-01,Back / Shoulders / Biceps,Pull-up,Back,3,6,4.0
2023-07-01,Back / Shoulders / Biceps,Seated Cable Rows,Back,1,12,52.0
2023-07-01,Back / Shoulders / Biceps,Seated Cable Rows,Back,2,10,55.0
2023-07-01,Back / Shoulders / Biceps,Seated Cable Rows,Back,3,8,59.0
2023-07-01,Back / Shoulders / Biceps,Lat pull-down,Back,1,11,41.0
2023-07-01,Back / Shoulders / Biceps,Lat pull-down,Back,2,10,45.0
2023-07-01,Back / Shoulders / Biceps,Lat pull-down,Back,3,9,45.0
2023-07-01,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,1,10,27.0
2023-07-01,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,2,10,29.0
2023-07-01,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,3,10,32.0
2023-07-01,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,1,10,14.0
2023-07-01,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,2,10,14.0
2023-07-01,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,3,10,14.0
2023-07-01,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,1,10,32.0
2023-07-01,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,2,10,32.0
2023-07-01,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,3,13,32.0
2023-07-01,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,1,9,9.0
2023-07-01,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,2,8,9.0
2023-07-01,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,3,7,9.0
2023-07-02,Chest / Shoulders / Triceps,Bench press,Chest,1,8,60.0
2023-07-02,Chest / Shoulders / Triceps,Bench press,Chest,2,8,60.0
2023-07-02,Chest / Shoulders / Triceps,Bench press,Chest,3,7,60.0
2023-07-02,Chest / Shoulders / Triceps,Incline bench press,Chest,1,11,46.0
2023-07-02,Chest / Shoulders / Triceps,Incline bench press,Chest,2,8,48.0
2023-07-02,Chest / Shoulders / Triceps,Incline bench press,Chest,3,9,48.0
2023-07-02,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,1,5,48.0
2023-07-02,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,2,13,40.0
2023-07-02,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,3,7,44.0
2023-07-02,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,7,18.0
2023-07-02,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,2,5,18.0
2023-07-02,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,3,5,16.0
2023-07-02,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,1,14,16.0
2023-07-02,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,2,10,18.0
2023-07-02,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,3,8,18.0
2023-07-02,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,1,9,12.0
2023-07-02,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,2,7,12.0
2023-07-02,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,3,6,12.0
