DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2024-01-12,Back / Biceps,Pull-up,Back,1,10,10.0
2024-01-12,Back / Biceps,Pull-up,Back,2,8,10.0
2024-01-12,Back / Biceps,Pull-up,Back,3,6,10.0
2024-01-12,Back / Biceps,Pull-up,Back,4,6,5.0
2024-01-12,Back / Biceps,Reverse Barbell Row,Back,1,11,65.0
2024-01-12,Back / Biceps,Reverse Barbell Row,Back,2,9,65.0
2024-01-12,Back / Biceps,Reverse Barbell Row,Back,3,11,65.0
2024-01-12,Back / Biceps,Hammer Curls,Biceps,1,10,14.0
2024-01-12,Back / Biceps,Hammer Curls,Biceps,2,7,14.0
2024-01-12,Back / Biceps,Hammer Curls,Biceps,3,5,14.0
2024-01-12,Back / Biceps,Incline dumbbell biceps curl,Biceps,1,10,10.0
2024-01-12,Back / Biceps,Incline dumbbell biceps curl,Biceps,2,8,10.0
2024-01-12,Back / Biceps,Incline dumbbell biceps curl,Biceps,3,8,10.0
2024-01-12,Back / Biceps,Incline dumbbell biceps curl,Biceps,4,7,10.0
2024-01-13,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,1,9,32.0
2024-01-13,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,2,7,32.0
2024-01-13,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,3,7,32.0
2024-01-13,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,1,8,28.0
2024-01-13,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,2,7,28.0
2024-01-13,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,9,24.0
2024-01-13,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,2,7,24.0
2024-01-13,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,1,8,18.0
2024-01-13,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,2,7,18.0
2024-01-13,Chest / Shoulders / Triceps,Cable cross-over,Chest,1,10,20.0
2024-01-13,Chest / Shoulders / Triceps,Cable cross-over,Chest,2,9,20.0
2024-01-13,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,1,7,30.0
2024-01-13,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,2,8,30.0
2024-01-13,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,3,9,30.0
2024-01-13,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,1,9,29.0
2024-01-13,Chest / Shoulders / Triceps,Single-arm cable triceps extension,Triceps,1,5,14.0
2024-01-13,Chest / Shoulders / Triceps,Single-arm cable triceps extension,Triceps,2,6,14.0
2024-01-13,Chest / Shoulders / Triceps,Single-arm cable lateral raise,Shoulders,1,11,14.0
2024-01-13,Chest / Shoulders / Triceps,Single-arm cable lateral raise,Shoulders,2,8,14.0
2024-01-13,Chest / Shoulders / Triceps,Single-arm cable lateral raise,Shoulders,3,8,14.0
2024-01-14,Legs,Barbell Squat,Legs,1,6,100.0
2024-01-14,Legs,Barbell Squat,Legs,2,6,100.0
2024-01-14,Legs,Barbell Squat,Legs,3,6,100.0
2024-01-14,Legs,Leg Press,Legs,1,7,140.0
2024-01-14,Legs,Leg Press,Legs,2,7,140.0
2024-01-14,Legs,Leg Press,Legs,3,7,140.0
2024-01-14,Legs,Lying Leg Curls,Legs,1,12,54.0
2024-01-14,Legs,Lying Leg Curls,Legs,2,8,59.0
2024-01-14,Legs,Lying Leg Curls,Legs,3,7,59.0
2024-01-14,Legs,Leg Extensions,Legs,1,12,79.0
2024-01-14,Legs,Leg Extensions,Legs,2,9,86.0
2024-01-14,Legs,Leg Extensions,Legs,3,8,86.0
2024-01-14,Legs,Smith machine standing calf raise,Legs,1,12,110.0
2024-01-14,Legs,Smith machine standing calf raise,Legs,2,10,110.0
2024-01-14,Legs,Smith machine standing calf raise,Legs,3,10,110.0
