DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-05-25,Back / Shoulders,Pull-up,Back,1,9,0.0
2023-05-25,Back / Shoulders,Pull-up,Back,2,8,0.0
2023-05-25,Back / Shoulders,Pull-up,Back,3,6,0.0
2023-05-25,Back / Shoulders,Pull-up,Back,4,5,0.0
2023-05-25,Back / Shoulders,Bent Over Barbell Row,Back,1,5,65.0
2023-05-25,Back / Shoulders,Bent Over Barbell Row,Back,2,8,60.0
2023-05-25,Back / Shoulders,Bent Over Barbell Row,Back,3,8,60.0
2023-05-25,Back / Shoulders,Bent Over Barbell Row,Back,4,8,60.0
2023-05-25,Back / Shoulders,Lat pull-down,Back,1,10,45.0
2023-05-25,Back / Shoulders,Lat pull-down,Back,2,8,52.0
2023-05-25,Back / Shoulders,Lat pull-down,Back,3,9,52.0
2023-05-25,Back / Shoulders,Lat pull-down,Back,4,7,52.0
2023-05-25,Back / Shoulders,Dumbbell lateral raise,Shoulders,1,11,8.0
2023-05-25,Back / Shoulders,Dumbbell lateral raise,Shoulders,2,8,10.0
2023-05-25,Back / Shoulders,Dumbbell lateral raise,Shoulders,3,9,10.0
2023-05-25,Back / Shoulders,Dumbbell lateral raise,Shoulders,4,7,10.0
2023-05-27,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,1,11,24.0
2023-05-27,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,2,7,26.0
2023-05-27,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,3,6,26.0
2023-05-27,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,1,11,20.0
2023-05-27,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,2,8,22.0
2023-05-27,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,10,16.0
2023-05-27,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,2,7,18.0
2023-05-27,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,3,5,18.0
2023-05-27,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,1,20,9.0
2023-05-27,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,2,10,11.0
2023-05-27,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,3,10,11.0
2023-05-27,Chest / Shoulders / Triceps,Cable overhead triceps extension,Triceps,1,5,29.0
2023-05-27,Chest / Shoulders / Triceps,Cable overhead triceps extension,Triceps,2,7,27.0
2023-05-27,Chest / Shoulders / Triceps,Cable overhead triceps extension,Triceps,3,6,27.0
2023-05-27,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,1,15,32.0
2023-05-27,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,2,8,36.0
2023-05-27,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,3,6,36.0
2023-05-27,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,1,10,10.0
2023-05-27,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,2,10,10.0
2023-05-27,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,3,7,10.0
2023-05-27,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,4,8,10.0
2023-05-28,Legs,Barbell Squat,Legs,1,11,70.0
2023-05-28,Legs,Barbell Squat,Legs,2,7,80.0
2023-05-28,Legs,Barbell Squat,Legs,3,7,80.0
2023-05-28,Legs,Barbell Squat,Legs,4,6,60.0
2023-05-28,Legs,Leg Press,Legs,1,8,80.0
2023-05-28,Legs,Leg Press,Legs,2,10,70.0
2023-05-28,Legs,Leg Press,Legs,3,10,70.0
2023-05-28,Legs,Lying Leg Curls,Legs,1,13,36.0
2023-05-28,Legs,Lying Leg Curls,Legs,2,9,41.0
2023-05-28,Legs,Lying Leg Curls,Legs,3,9,41.0
2023-05-28,Legs,Lying Leg Curls,Legs,4,6,41.0
2023-05-28,Legs,Smith machine standing calf raise,Legs,1,10,60.0
2023-05-28,Legs,Smith machine standing calf raise,Legs,2,10,60.0
2023-05-28,Legs,Smith machine standing calf raise,Legs,3,12,60.0
2023-05-28,Legs,Leg Extensions,Legs,1,11,45.0
2023-05-28,Legs,Leg Extensions,Legs,2,10,52.0
2023-05-28,Legs,Leg Extensions,Legs,3,7,52.0
